GRB,scenario,z,Emax_GeV,sep_deg,T90_s,dt_used_s,E_QG_1_lower_GeV,E_QG_2_lower_GeV,E_QG_1_in_EPlanck,E_QG_2_TeV
GRB080916C,A_trigger_reference,4.35,1.894961669921875,1.560300668536513,66.0,1920.8093641400337,1860223171935393.0,126541072.13915633,0.00015236490883245089,126541.07213915633
GRB080916C,B_after_T90_reference,4.35,1.894961669921875,1.560300668536513,66.0,1854.8093641400337,1926415812387507.5,128772759.38845988,0.00015778653553833298,128772.75938845988
GRB080916C,C_rest_frame_diagnostic,4.35,1.894961669921875,1.560300668536513,66.0,359.02978768972594,9952193969854352.0,292690347.84047854,0.0008151522622536122,292690.3478404785
GRB090510,A_trigger_reference,0.903,29.914779296875,0.037147287135795445,0.96,2.828318953514099,4.708422657989609e+18,17564279438.80346,0.38565178622242685,17564279.43880346
GRB090510,B_after_T90_reference,0.903,29.914779296875,0.037147287135795445,0.96,1.8683189535140992,7.127755686308061e+18,21610709232.194557,0.5838115886893326,21610709.232194558
GRB090510,C_rest_frame_diagnostic,0.903,29.914779296875,0.037147287135795445,0.96,1.4862422246527058,8.960128318154227e+18,24229794570.42349,0.7338953491812783,24229794.570423488
GRB090902B,A_trigger_reference,1.822,39.88158203125,1.8081285744511937,19.3,83.74910372495651,4.2286712119536205e+17,6944187207.099575,0.03463568852447883,6944187.207099575
GRB090902B,B_after_T90_reference,1.822,39.88158203125,1.8081285744511937,19.3,64.44910372495652,5.494993777725809e+17,7915950381.437983,0.04500773018040633,7915950.381437982
GRB090902B,C_rest_frame_diagnostic,1.822,39.88158203125,1.8081285744511937,19.3,29.67721606128863,1.1933310160133117e+18,11665407789.6817,0.09774191301607926,11665407.7896817
GRB090926A,A_trigger_reference,2.1062,10.4183583984375,0.03559575857944965,20.0,3788.0406794548035,2792351697364106.0,298271443.8649574,0.00022871256428569958,298271.4438649574
GRB090926A,B_after_T90_reference,2.1062,10.4183583984375,0.03559575857944965,20.0,3768.0406794548035,2807172937021041.5,299061978.58832157,0.00022992652445090028,299061.9785883216
GRB090926A,C_rest_frame_diagnostic,2.1062,10.4183583984375,0.03559575857944965,20.0,1219.50958710154,8673602842352385.0,525685967.4697287,0.0007104269671842399,525685.9674697287
GRB130427A,A_trigger_reference,0.34,94.116390625,0.03823411721106396,138.0,246.5496597290039,6.1323554493456104e+16,3187040477.9897194,0.005022815504419372,3187040.4779897192
GRB130427A,B_after_T90_reference,0.34,94.116390625,0.03823411721106396,138.0,108.5496597290039,1.3928465120462126e+17,4803143367.358183,0.0114083586865936,4803143.367358183
GRB130427A,C_rest_frame_diagnostic,0.34,94.116390625,0.03823411721106396,138.0,183.99228337985366,8.217356302123118e+16,3689266077.5799594,0.0067305727759219575,3689266.0775799593
